11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,8,8,8,11,11,8,6,6,6,6,6,11,8,8,11
11,11,11,11,11,11,11,11,10,102,8,10,11,11,6,6,102,11,11,11,6,6,6,102
11,10,102,102,8,102,10,6,6,6,102,6,6,6,10,10,11,11,11,10,10,11,11,6
11,10,11,10,6,6,6,6,8,11,11,10,10,8,8,10,11,11,10,10,11,11,11,6
11,8,102,6,10,11,8,10,12,12,12,12,102,11,10,10,6,10,11,11,11,11,6,8
11,11,10,6,10,12,12,12,12,12,12,12,12,12,10,11,6,8,11,11,11,102,6,8
10,10,10,8,12,12,12,2,8,10,12,12,12,8,10,6,6,6,6,6,6,6,102,8
10,102,10,10,12,12,8,8,8,8,10,12,12,102,10,6,8,10,10,8,8,102,6,6
6,10,11,12,12,10,8,203,203,8,8,12,12,8,102,6,8,10,11,11,11,11,10,6
6,102,10,11,12,8,8,203,201,8,8,2,12,12,12,6,8,10,10,11,11,11,10,6
102,8,11,12,2,8,8,203,8,8,8,8,12,12,12,6,10,102,10,11,11,11,10,6
6,10,10,11,12,8,10,8,8,8,2,7,7,7,7,6,11,11,10,10,11,11,10,6
6,10,11,12,12,12,2,8,8,10,2,12,12,102,6,11,102,102,10,10,11,10,6,11
6,102,10,11,12,12,12,12,8,10,12,12,12,12,6,11,6,11,6,10,10,10,6,11
102,6,10,11,8,8,12,12,12,12,12,12,12,12,6,6,11,11,6,6,6,6,11,11
8,6,10,10,10,102,12,12,12,8,8,12,12,12,11,11,11,6,6,6,10,10,11,11
6,11,10,6,11,12,12,8,2,2,8,12,12,102,11,10,10,11,11,10,10,6,6,11
8,6,102,6,6,12,12,12,10,8,8,12,12,12,8,8,11,11,11,11,10,10,10,6
11,8,8,6,10,12,12,12,10,10,12,12,12,12,12,8,10,102,11,11,12,12,6,10
11,11,11,6,102,8,12,12,12,10,10,8,12,12,12,12,8,102,8,10,12,12,10,102
11,8,6,8,8,11,12,12,12,12,10,10,11,12,12,12,8,102,8,12,12,12,10,10
102,11,10,8,103,103,10,10,12,12,12,11,8,11,11,12,12,12,12,12,12,12,10,6
102,8,8,103,101,103,8,10,10,12,12,11,10,8,11,11,12,12,12,12,12,10,6,10
102,102,8,8,103,103,8,102,8,10,102,11,8,102,10,102,11,11,11,11,11,10,102,10
102,102,102,8,10,8,8,8,6,6,102,6,102,6,10,102,6,6,6,6,102,10,10,11
11,11,11,11,10,10,11,11,11,11,10,10,10,10,11,10,10,10,10,10,10,10,10,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
