11,11,11,11,11,12,12,11,11,11,11,11,11,10,8,11,11,11,11,11,11,11,11,10,10,8,10,10,11,11
11,102,8,11,12,12,8,8,10,10,10,10,8,10,8,8,10,11,11,11,11,11,10,8,8,10,8,10,11,11
11,8,6,8,11,12,12,13,8,8,102,6,6,6,6,10,102,8,10,10,10,10,8,8,8,11,202,8,10,11
11,8,6,13,12,12,12,13,8,8,8,8,8,102,6,10,104,8,10,8,202,10,8,8,10,11,8,8,10,11
11,8,102,6,13,12,12,12,13,13,13,8,8,10,10,6,6,6,6,102,10,8,8,8,202,11,8,8,10,11
11,11,6,8,13,12,12,12,12,12,13,8,10,10,10,8,102,10,6,6,10,11,10,8,8,8,8,10,11,11
11,11,11,10,8,11,12,12,12,12,12,12,12,11,11,11,10,10,10,10,6,10,11,10,8,8,8,8,11,11
11,11,10,6,11,12,12,12,12,12,12,12,11,11,102,11,11,10,8,10,6,10,11,8,8,202,10,10,11,11
11,102,102,8,6,11,11,12,12,12,12,12,11,11,11,102,11,12,10,8,8,6,6,8,8,8,8,8,11,11
102,102,102,8,6,104,8,13,12,12,12,105,102,11,11,11,12,12,10,8,8,10,6,8,8,8,8,10,11,11
102,102,102,8,6,102,102,8,12,12,12,12,12,12,12,12,12,12,12,13,8,8,10,6,2,8,10,8,11,11
102,102,102,6,104,8,8,105,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,204,8,8,10,10,11
102,102,102,8,8,103,103,8,105,102,11,12,12,12,12,12,12,12,12,12,5,8,8,203,8,8,8,202,8,11
102,102,8,104,104,103,101,103,8,102,11,12,12,12,12,12,12,12,12,205,8,203,201,203,8,204,8,10,10,11
11,102,102,8,8,103,103,8,105,102,11,12,12,12,12,12,12,12,12,12,5,8,8,203,8,8,8,8,8,11
102,102,102,6,104,8,8,105,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,4,8,8,8,11,11
102,102,102,6,8,102,102,8,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,2,6,8,8,8,8,11
11,102,6,8,8,104,8,13,12,12,12,12,12,12,12,12,12,12,12,12,10,8,8,6,8,10,202,8,11,11
11,11,8,10,8,11,11,12,12,12,12,105,102,11,11,11,12,12,12,11,11,8,10,6,8,10,8,8,8,11
11,10,10,8,11,12,12,12,12,12,12,11,11,11,102,11,10,10,11,10,10,8,10,6,8,11,10,8,10,11
11,8,102,10,11,12,12,12,12,12,13,13,8,11,102,11,10,8,8,8,10,10,10,6,8,8,11,8,8,11
11,8,6,8,13,12,12,12,12,13,8,8,10,11,11,8,8,102,104,8,202,10,6,10,8,11,10,8,11,11
11,8,6,8,13,12,12,12,13,13,8,8,6,6,6,6,6,6,6,6,6,6,6,202,10,10,8,202,8,11
11,102,6,13,12,12,12,13,8,8,102,6,10,8,8,10,8,102,8,8,8,10,10,10,8,8,8,8,11,11
11,8,8,11,11,12,12,8,8,8,8,8,10,10,102,8,8,8,8,8,8,10,10,10,8,8,10,10,11,11
11,11,11,11,11,12,12,11,11,10,10,8,8,10,10,10,11,10,11,10,11,10,10,10,10,11,11,11,11,11
