11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,2,11,11,9,11,2,11,11,11
11,11,11,11,11,10,10,10,11,11,2,2,11,9,2,2,4,11,11,11
11,11,11,10,10,104,103,10,11,11,8,8,11,9,2,11,10,11,11,11
11,11,11,10,103,101,103,8,8,10,8,10,9,8,11,11,10,11,11,11
11,11,11,10,10,103,103,8,8,8,8,8,8,7,8,10,10,11,11,11
11,11,11,10,8,8,8,8,2,10,10,11,9,11,10,10,10,11,11,11
11,11,2,10,8,11,10,10,11,11,10,11,11,9,10,10,10,11,11,11
11,11,2,10,8,11,11,11,11,10,11,11,10,9,11,10,10,11,11,11
11,11,2,10,8,2,11,11,11,10,10,11,10,9,11,4,8,2,11,11
11,11,10,10,11,11,11,10,11,4,10,11,10,9,11,10,8,10,11,11
9,11,11,10,10,11,11,10,2,2,8,10,11,9,10,11,8,8,10,11
9,11,11,10,8,11,11,10,10,11,10,11,11,10,10,11,8,2,2,11
11,9,11,10,8,10,11,10,10,10,11,11,10,11,11,11,8,2,11,11
11,9,11,10,8,10,10,10,11,11,11,11,10,10,11,8,8,11,11,11
11,11,9,10,10,8,10,10,10,10,9,11,10,10,8,8,2,11,11,11
11,11,9,10,8,10,11,10,8,10,9,11,11,10,8,11,10,10,11,11
11,11,11,9,8,10,2,10,10,8,9,10,4,11,10,8,11,10,2,11
11,11,9,10,10,2,2,11,11,8,7,2,8,11,10,8,8,8,2,11
11,2,4,9,10,10,2,11,11,8,9,2,8,11,11,10,8,11,11,11
11,2,2,7,10,10,11,10,10,8,9,11,11,11,8,8,8,11,11,11
11,8,8,9,10,10,11,10,8,8,9,11,2,10,8,203,203,11,11,11
11,8,9,2,2,10,10,10,11,11,9,10,8,8,203,201,203,11,11,11
11,11,9,2,2,8,8,10,10,10,9,10,8,10,8,203,204,11,11,11
11,11,9,8,8,10,10,10,8,7,8,8,8,10,11,11,11,11,11,11
11,11,9,11,11,11,11,11,8,9,2,2,10,10,11,11,11,11,11,11
11,11,9,11,11,11,11,11,9,8,8,11,11,11,11,11,11,11,11,11
11,11,9,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11
11,11,9,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11
