12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12
12,12,12,12,12,12,8,11,8,11,11,11,8,8,8,11,12,12,12,12,12,12
12,12,12,12,8,8,8,8,8,11,8,8,8,103,203,8,8,12,12,12,12,12
12,12,12,12,8,8,8,8,2,8,8,2,8,103,201,203,8,8,12,12,12,12
12,12,12,8,8,2,6,6,6,6,6,6,8,103,103,8,8,10,12,12,12,12
12,12,12,8,8,6,2,8,8,10,8,10,8,8,8,8,10,8,8,12,12,12
12,12,11,8,6,10,11,8,9,9,9,9,9,8,2,6,8,10,11,12,12,12
12,12,11,11,2,6,11,8,9,9,9,9,9,9,8,8,6,2,8,11,12,12
12,11,8,11,6,2,10,9,9,2,2,2,9,9,10,8,6,8,8,11,12,12
12,11,8,8,8,6,10,9,9,2,2,2,2,9,9,8,6,8,8,8,11,12
12,11,8,10,8,6,8,9,9,2,2,2,9,9,8,8,6,2,8,11,12,12
12,12,11,10,8,2,6,8,9,9,9,9,9,9,10,8,6,8,11,10,12,12
12,12,11,8,8,8,8,8,9,9,9,9,9,10,11,6,8,11,11,12,12,12
12,12,12,11,8,8,103,103,8,8,10,8,8,10,11,6,2,8,11,12,12,12
12,12,12,10,8,103,101,103,8,6,6,6,6,2,6,8,8,8,12,12,12,12
12,12,12,12,8,8,103,103,8,2,8,10,8,6,6,8,8,8,12,12,12,12
12,12,12,12,12,11,8,8,10,8,8,11,10,8,2,8,11,12,12,12,12,12
12,12,12,12,12,12,12,8,8,8,8,11,11,8,8,11,12,12,12,12,12,12
12,12,12,12,12,12,12,12,11,11,11,11,11,11,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
