12,12,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12
11,11,8,8,8,8,8,8,8,11,11,11,12,12,12,12,12,11,11,12
11,11,103,103,10,102,10,102,102,10,8,11,11,12,12,12,12,8,2,11
11,103,101,103,6,102,6,6,6,102,8,12,12,13,12,12,12,13,5,8
11,8,103,103,8,102,13,13,12,12,12,12,12,2,8,12,12,12,12,8
6,10,10,105,12,12,12,12,12,12,12,12,12,12,12,8,8,12,12,12
102,6,5,12,12,12,13,2,8,12,12,12,12,8,8,6,10,12,12,8
102,13,12,12,12,12,2,12,12,12,13,13,8,2,2,10,12,12,13,8
102,13,12,12,12,12,12,12,8,8,5,2,2,2,11,6,12,12,12,2
6,12,12,12,12,6,102,102,10,2,2,2,11,11,11,6,12,12,12,12
102,6,12,12,8,102,102,102,2,2,2,11,11,11,10,10,6,8,8,12
13,12,12,12,12,12,8,8,2,11,11,11,10,10,202,202,8,12,12,12
12,12,12,8,5,12,12,13,8,11,11,11,10,202,202,13,12,12,12,12
12,12,13,2,12,12,12,13,11,11,10,202,202,8,12,12,12,12,8,11
12,12,12,12,12,12,12,12,12,11,6,202,202,8,12,12,8,12,10,10
12,12,12,8,12,12,12,12,12,12,13,8,5,12,12,8,202,6,202,11
12,12,8,10,8,12,12,12,12,12,12,12,12,12,12,8,202,202,10,11
8,10,2,2,8,13,12,12,12,8,8,12,12,12,12,13,202,10,11,11
8,2,2,2,10,8,5,12,12,8,10,8,12,12,12,13,8,6,203,203
11,10,2,2,2,10,8,10,2,2,2,8,12,12,12,5,202,8,201,203
11,11,10,6,2,2,2,2,2,2,2,8,12,13,13,12,205,10,8,203
11,11,11,11,10,2,2,2,10,8,12,12,13,8,202,202,10,10,10,12
12,11,11,11,11,11,11,11,11,12,12,12,12,13,8,8,8,8,11,11
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,12,12
