12,12,12,12,12,12,11,11,12,12,11,11,12,12,12,12,12,12
12,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,12,12
12,12,12,12,12,12,11,204,203,201,203,11,12,12,12,12,12,12
12,12,12,12,12,11,204,8,203,203,8,11,12,12,12,12,12,12
12,12,12,12,12,11,8,8,8,8,8,8,11,12,12,12,12,12
12,12,12,12,11,11,202,10,8,202,8,11,11,12,12,12,12,12
12,12,12,12,12,12,11,8,8,8,8,11,12,12,12,12,12,12
12,12,12,12,12,11,8,8,8,202,8,11,12,12,12,12,12,12
12,12,12,12,12,11,11,11,11,11,10,10,11,12,12,12,12,12
10,10,10,12,11,2,2,2,2,11,6,8,11,12,10,10,10,10
2,8,10,12,11,2,11,11,11,11,10,6,2,11,12,10,8,2
2,8,12,11,2,6,6,6,11,10,6,8,2,11,12,8,2,10
10,2,12,11,11,11,11,11,10,8,10,11,11,11,11,12,2,10
10,10,12,12,12,12,12,12,7,7,12,12,12,12,12,8,8,10
10,10,10,10,8,8,102,10,8,8,8,10,8,8,8,10,10,8
10,8,8,8,8,8,8,2,8,8,8,8,10,10,8,8,8,10
10,10,10,8,8,10,8,8,8,103,103,8,10,8,8,8,10,10
10,10,102,10,8,10,8,104,103,101,103,104,10,8,10,102,10,10
10,10,10,8,8,8,8,11,8,8,8,8,8,8,8,8,10,10
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
