11,11,11,10,11,11,8,8,10,8,8,8,10,10,8,10,8,10,8,10,8,8,11,11
11,8,2,8,11,8,8,6,6,10,8,8,103,103,8,8,8,6,6,6,8,2,10,10
10,8,8,8,11,8,8,6,2,6,6,8,103,101,103,8,6,6,2,11,6,6,8,11
8,10,8,10,8,2,6,11,8,8,8,8,103,103,8,8,10,8,11,8,2,6,8,11
8,8,8,2,6,6,6,8,11,10,8,8,8,8,8,8,8,8,10,8,8,6,8,11
11,8,8,6,8,8,8,8,8,8,13,13,5,105,13,13,8,8,8,8,6,8,10,11
11,8,8,6,8,8,8,11,11,12,12,12,12,12,12,12,12,12,11,10,6,2,8,10
11,8,2,6,8,8,10,11,12,12,12,12,12,12,12,12,12,11,8,8,6,8,8,10
10,8,8,8,2,8,8,11,12,12,12,12,12,12,12,12,12,12,8,10,2,6,10,8
10,11,8,8,8,13,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,2,8,11
12,12,8,13,13,12,12,12,12,12,12,12,8,8,12,12,12,12,12,12,13,8,8,10
12,12,12,12,12,12,12,12,12,13,13,8,2,8,13,13,12,12,12,12,13,13,8,12
12,12,12,12,12,12,12,12,12,8,2,10,2,8,2,8,5,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,5,8,2,8,2,2,2,8,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,13,2,10,2,10,8,13,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,13,13,8,2,13,13,12,12,12,12,13,13,13,12,12
12,13,8,8,13,13,12,12,12,12,12,12,8,8,12,12,12,12,12,13,8,8,8,11
8,8,8,8,8,13,12,12,12,12,12,12,12,12,12,12,12,12,13,8,2,2,8,11
11,8,6,2,8,8,11,12,12,12,12,12,12,12,12,12,12,12,12,13,8,6,8,8
11,2,6,8,8,11,12,12,12,12,12,12,12,12,12,12,12,12,11,11,8,6,2,11
11,8,6,10,8,11,11,12,12,12,12,12,12,12,12,12,12,12,12,11,8,8,6,8
11,8,6,10,8,11,11,12,12,13,13,13,5,205,13,12,12,11,11,8,8,6,8,11
11,8,2,6,8,8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,11
11,11,8,6,6,6,6,6,6,6,6,8,203,203,8,8,8,10,6,6,6,2,8,11
11,8,8,8,2,8,11,2,8,8,8,8,203,201,203,8,6,6,6,2,11,8,8,8
11,8,8,8,8,8,11,8,10,8,8,8,203,203,8,8,8,8,8,10,11,8,8,11
11,11,10,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,2,11
11,11,11,11,10,10,10,8,10,8,11,11,8,11,11,10,11,10,11,8,10,11,11,11
