12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
11,11,11,11,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
11,11,8,8,8,8,8,105,105,105,8,10,11,10,12,12,8,8,8,11,12,12,12,12,12,12,12,12
11,8,8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,2,8,13,12,12,12,12,12,12,12,12
11,8,2,10,8,8,104,8,103,103,8,8,8,8,2,8,10,8,8,5,12,12,12,12,12,12,12,12
10,8,2,8,8,8,8,103,101,103,8,104,8,8,2,8,4,2,8,13,12,12,12,12,12,12,12,12
8,8,8,10,8,8,2,8,103,103,8,2,8,10,8,8,8,2,8,8,12,12,12,12,12,12,12,12
2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,12,12,12,12,12,12,12,12
11,2,2,8,8,11,8,105,8,8,8,10,11,11,8,5,13,13,8,11,12,12,12,12,12,13,12,12
11,11,13,13,12,12,12,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,8,12,12
11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,13,2,8,12
11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,2,2,10,12
11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,2,4,2,8,12
11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,4,2,2,10,12
11,2,2,13,13,12,12,12,13,13,13,12,12,12,5,13,13,11,12,12,12,12,12,8,2,2,8,12
2,8,8,8,8,11,8,5,8,8,8,11,11,8,8,8,8,8,12,12,12,12,12,5,2,2,10,12
8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,12,12,12,12,12,13,2,10,12
8,8,8,10,8,2,8,203,203,8,2,8,8,8,4,8,2,8,13,12,12,12,12,12,13,8,12,12
11,8,2,8,8,204,8,203,201,203,8,8,8,8,8,8,8,8,8,5,12,12,12,12,12,13,12,12
8,8,2,8,8,8,8,203,203,8,4,8,8,8,2,8,2,8,8,13,12,12,12,12,12,12,12,12
11,8,8,10,8,8,8,8,8,8,8,10,10,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12
11,8,8,8,8,8,8,205,205,205,8,8,8,8,8,2,8,8,10,12,12,12,12,12,12,12,12,12
11,11,11,11,11,8,8,12,12,12,12,12,12,10,8,8,8,11,11,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
