11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12
11,11,8,8,8,11,12,12,12,12,12,12,12,12,12,12
10,10,10,10,8,8,2,12,12,12,12,12,12,12,12,12
10,2,10,8,8,8,2,12,12,12,12,11,11,11,12,12
8,2,8,8,8,8,6,12,12,12,8,8,203,201,11,12
10,10,10,10,8,8,6,12,12,8,8,6,203,203,11,12
8,8,10,11,10,8,6,12,12,12,8,6,8,8,8,12
8,10,10,11,2,8,6,12,12,8,6,11,8,2,12,12
8,10,10,11,11,11,2,6,7,6,6,11,11,8,8,12
8,10,2,11,11,11,11,12,11,11,2,11,11,8,8,12
8,8,8,11,11,11,11,11,12,11,11,11,11,2,8,8
8,8,11,11,2,11,8,12,8,10,11,11,11,10,10,8
12,2,8,11,11,6,6,7,6,6,2,11,11,11,10,8
12,8,8,8,6,8,12,12,12,6,8,2,11,10,10,8
12,11,103,103,6,8,8,12,12,6,8,8,10,11,10,8
12,11,101,103,8,8,12,12,12,6,8,8,10,10,2,8
12,12,11,11,11,12,12,12,12,2,8,8,8,10,2,10
12,12,12,12,12,12,12,12,12,2,8,10,10,10,10,10
12,12,12,12,12,12,12,12,12,12,11,8,8,8,11,11
12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11
