12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,11,11,11,105,12,12,12,12,11,11,11,11,11,12,12
12,11,11,103,103,105,12,12,12,11,2,2,2,2,11,12
12,11,103,101,103,8,105,12,12,11,2,2,2,11,12,12
12,12,11,103,103,8,11,12,12,11,2,2,11,11,11,12
12,12,11,8,8,11,12,12,13,8,8,8,8,8,11,12
12,12,12,13,13,13,12,12,13,8,8,13,12,13,11,12
12,12,12,12,12,12,12,13,8,8,13,12,12,11,12,12
12,12,12,12,12,12,12,2,2,2,12,12,12,12,12,12
12,13,13,13,12,12,2,2,12,12,13,13,13,12,12,12
12,11,8,8,13,12,12,12,12,12,13,8,8,11,12,12
12,2,2,8,13,12,12,12,12,12,205,203,203,11,12,12
12,2,2,8,8,13,12,12,12,205,8,203,201,203,11,12
12,2,2,8,13,12,12,12,12,12,205,203,203,11,12,12
12,11,11,11,13,12,12,12,12,13,8,8,11,11,12,12
12,12,12,12,12,12,12,12,12,11,11,11,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
