12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,11,11,11,11,12,12,12,12,12,12,12
12,12,12,12,12,12,11,11,2,2,2,11,11,12,12,12,12,12
12,12,12,12,12,11,2,2,8,8,201,2,11,12,12,12,12,12
12,12,12,12,11,11,2,8,8,8,8,8,2,11,11,12,12,12
12,12,12,11,2,2,8,8,8,8,8,8,2,2,11,12,12,12
12,12,12,11,2,8,8,8,8,8,8,8,8,8,2,11,12,12
12,12,11,8,8,8,8,8,8,8,8,8,8,8,2,11,12,12
12,12,11,8,8,8,8,8,8,8,8,8,8,8,8,11,12,12
12,12,11,2,8,8,2,2,2,8,8,2,2,8,8,11,12,12
12,12,11,8,2,8,2,8,8,2,8,2,8,2,8,11,12,12
12,12,11,8,2,2,8,8,8,2,2,8,8,2,2,11,12,12
12,12,11,2,8,8,8,8,8,8,8,8,8,8,8,11,12,12
12,12,11,2,8,8,8,8,8,8,8,8,8,2,11,12,12,12
12,12,12,11,2,8,8,8,8,8,8,8,8,2,11,12,12,12
12,12,12,11,2,2,8,8,8,8,8,2,2,11,12,12,12,12
12,12,12,12,11,11,2,8,8,8,8,2,11,11,12,12,12,12
12,12,12,12,12,11,2,101,102,2,2,11,12,12,12,12,12,12
12,12,12,12,12,12,11,11,11,11,11,11,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
