12,12,11,11,11,11,11,12,12,12,12,12,11,11,11,11,11,11,11,12
12,11,10,10,10,10,11,12,12,11,11,11,10,102,102,102,10,11,11,12
12,11,10,203,201,8,10,11,11,11,8,102,102,102,102,102,102,10,10,11
11,8,203,203,203,8,2,7,7,7,11,11,11,10,102,102,102,102,10,11
11,10,8,203,203,10,11,11,11,11,11,12,12,11,11,10,102,102,10,11
11,10,8,8,11,11,12,12,12,12,12,12,12,12,11,10,102,102,10,11
12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,11,102,102,10,11
12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,102,102,11
12,10,102,102,10,12,12,12,12,11,11,10,10,10,11,11,10,102,10,11
10,103,103,8,10,11,11,11,11,10,102,102,102,102,8,102,8,102,11,11
10,103,103,103,8,8,7,7,7,7,102,102,102,102,102,10,102,10,10,11
10,101,103,8,8,11,11,11,11,10,102,102,102,102,10,11,11,11,11,10
12,10,10,10,10,10,12,12,12,11,11,10,102,10,10,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,12,11,11,11,11
11,11,4,4,11,11,12,12,12,12,12,12,12,12,12,12,12,2,10,10
11,11,11,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
