12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,101,103,8,102,8,8,8,2,12,12,12
12,12,12,103,104,11,11,8,11,11,8,12,12,12
12,12,12,105,8,10,11,2,11,11,8,12,12,12
12,12,12,8,8,102,8,8,10,11,202,12,12,12
12,12,12,102,11,8,8,8,11,11,8,12,12,12
12,12,12,8,11,8,10,8,202,11,205,12,12,12
12,12,12,8,11,8,11,11,204,11,203,12,12,12
12,12,12,2,8,8,8,202,8,203,201,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12
