12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,104,11,12,12,12,11,12,12,12,11,11,12,12
12,12,104,101,103,12,12,10,10,12,12,10,4,10,12,12
12,12,11,103,103,6,6,6,2,6,6,6,2,2,11,12
12,12,10,6,10,12,12,10,10,12,12,10,6,11,12,12
12,12,12,6,10,12,12,12,6,12,12,12,6,12,12,12
12,12,12,6,10,12,12,2,10,12,12,10,6,12,12,12
12,12,12,11,2,6,6,6,4,6,6,6,2,11,12,12
12,12,12,6,10,12,12,10,2,12,12,10,6,12,12,12
12,12,12,12,6,12,12,12,6,12,12,12,10,6,12,12
12,12,11,6,10,12,12,10,10,12,12,10,6,10,12,12
12,12,11,2,2,6,6,6,2,6,6,6,203,203,11,12
12,12,10,4,10,12,12,10,10,12,12,203,201,204,12,12
12,12,12,11,11,12,12,12,11,12,12,12,11,204,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
